Source Ports,Game Title,URL
CrossUO,Ultima Online,https://crossuo.com/
EDuke32,Duke Nukem 3D and other BUILD engine,https://www.eduke32.com/
FreeSO,The Sims Online,https://freeso.org/
GZDoom,Various id Tech 1 games,https://zdoom.org/
ioquake3,Quake III: Arena,https://ioquake3.org/
OpenMW,Morrowind,https://openmw.org/
OpenRA,Red Alert/Tiberian Dawn/Dune 2000,https://www.openra.net/
OpenRCT2,RollerCoaster Tycoon 2,https://openrct2.org/
OpenTTD,Transport Tycoon Deluxe,https://www.openttd.org/
OpenXcom,X-COM series,https://openxcom.org/
RVGL,Re-Volt,https://rvgl.org/
ScummVM,Various adventure games & RPGs,https://www.scummvm.org/
VCMI,Heroes of Might and Magic III,https://vcmi.eu/
